num,img
0,./stim/MorphF1_10_orig.jpg
1,./stim/MorphM10_06_orig.jpg
2,./stim/MorphF8_03_orig.jpg
3,./stim/MorphM8_07_orig.jpg
4,./stim/MorphF4_00_orig.jpg
5,./stim/MorphF1_02_orig.jpg
6,./stim/MorphF6_00_orig.jpg
7,./stim/MorphM9_00_orig.jpg
8,./stim/MorphM6_05_orig.jpg
9,./stim/MorphM4_05_orig.jpg
10,./stim/MorphF7_09_orig.jpg
11,./stim/MorphM2_01_orig.jpg
12,./stim/MorphF4_04_orig.jpg
13,./stim/MorphF2_07_orig.jpg
14,./stim/MorphM2_00_orig.jpg
15,./stim/MorphM8_08_orig.jpg
16,./stim/MorphF7_01_orig.jpg
17,./stim/MorphM9_01_orig.jpg
18,./stim/MorphF6_09_orig.jpg
19,./stim/MorphF2_08_orig.jpg
20,./stim/MorphM7_07_orig.jpg
21,./stim/MorphM2_06_orig.jpg
22,./stim/MorphF4_07_orig.jpg
23,./stim/MorphF9_10_orig.jpg
24,./stim/MorphF6_03_orig.jpg
25,./stim/MorphM9_03_orig.jpg
26,./stim/MorphM4_03_orig.jpg
27,./stim/MorphF7_03_orig.jpg
28,./stim/MorphM7_03_orig.jpg
29,./stim/MorphM8_04_orig.jpg
30,./stim/MorphM9_07_orig.jpg
31,./stim/MorphM8_01_orig.jpg
32,./stim/MorphM1_05_orig.jpg
33,./stim/MorphF2_06_orig.jpg
34,./stim/MorphM8_06_orig.jpg
35,./stim/MorphM4_02_orig.jpg
36,./stim/MorphM2_10_orig.jpg
37,./stim/MorphF2_05_orig.jpg
38,./stim/MorphF4_08_orig.jpg
39,./stim/MorphM1_08_orig.jpg
40,./stim/MorphF8_10_orig.jpg
41,./stim/MorphF7_00_orig.jpg
42,./stim/MorphM5_03_orig.jpg
43,./stim/MorphF5_04_orig.jpg
44,./stim/MorphM1_06_orig.jpg
45,./stim/MorphM4_01_orig.jpg
46,./stim/MorphF10_06_orig.jpg
47,./stim/MorphM7_10_orig.jpg
48,./stim/MorphM3_00_orig.jpg
49,./stim/MorphM7_05_orig.jpg
50,./stim/MorphF6_06_orig.jpg
51,./stim/MorphF1_01_orig.jpg
52,./stim/MorphM3_01_orig.jpg
53,./stim/MorphF7_04_orig.jpg
54,./stim/MorphM8_05_orig.jpg
55,./stim/MorphM5_01_orig.jpg
56,./stim/MorphF2_02_orig.jpg
57,./stim/MorphM3_05_orig.jpg
58,./stim/MorphF8_00_orig.jpg
59,./stim/MorphM10_08_orig.jpg
60,./stim/MorphF5_00_orig.jpg
61,./stim/MorphF4_06_orig.jpg
62,./stim/MorphF7_06_orig.jpg
63,./stim/MorphF10_03_orig.jpg
64,./stim/MorphM10_07_orig.jpg
65,./stim/MorphM3_08_orig.jpg
66,./stim/MorphM4_06_orig.jpg
67,./stim/MorphF5_07_orig.jpg
68,./stim/MorphM1_00_orig.jpg
69,./stim/MorphM2_08_orig.jpg
70,./stim/MorphM10_01_orig.jpg
71,./stim/MorphM9_02_orig.jpg
72,./stim/MorphF9_09_orig.jpg
73,./stim/MorphF5_08_orig.jpg
